UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC;;UUID;Display pt
67480ac6630a4923aff150f4cf3861d2;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50000;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de medição do RTD1;;;;;;;;;;;;;;;;;;;;;
f27bdb822e2d4c1295885b3ab4ca056c;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50001;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de medição do RTD2;;;;;;;;;;;;;;;;;;;;67480ac6630a4923aff150f4cf3861d2;
9f54f7271a1a444eb9ed4c70918dfe10;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50002;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de cálculo do RTD1;;;;;;;;;;;;;;;;;;;;f27bdb822e2d4c1295885b3ab4ca056c;
23ae1bd5575e4704b6121b685e77e194;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50003;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de cálculo do RTD2;;;;;;;;;;;;;;;;;;;;9f54f7271a1a444eb9ed4c70918dfe10;
afd4412c56eb44a5a51b37a3da232b87;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50004;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de medição da temperatura do Óleo;;;;;;;;;;;;;;;;;;;;23ae1bd5575e4704b6121b685e77e194;
cbf1ee87409840faa5d110bc7b191ce3;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50005;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de cálculo da temperatura do Óleo;;;;;;;;;;;;;;;;;;;;afd4412c56eb44a5a51b37a3da232b87;
3026d9a223c54de184a4a0641954cbc7;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50006;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de medição da temperatura do Enrolamento 1;;;;;;;;;;;;;;;;;;;;cbf1ee87409840faa5d110bc7b191ce3;
351ac3851b9b4ba5a5fde99bed333aaa;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50007;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de medição da temperatura do Enrolamento 2;;;;;;;;;;;;;;;;;;;;3026d9a223c54de184a4a0641954cbc7;
92fbac7f323f415bac42f2978b1654e2;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50008;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de medição da temperatura do Enrolamento 3;;;;;;;;;;;;;;;;;;;;351ac3851b9b4ba5a5fde99bed333aaa;
82ca6ea41ede4d0ebe5fc0bdad9b8b73;1;R;Bit;TabLeituraBinIntGenerica;Discrete input;50009;;;0;1;0;1;;;;0=Não\1=Sim;;;;;Uso interno;Erro de overflow de cálculo da temperatura do Enrolamento 1;;;;;;;;;;;;;;;;;;;;92fbac7f323f415bac42f2978b1654e2;
