UUID;Teste automático;Modo;Tratamento;Tabela (Modbus);Tipo (Modbus);Registrador (Modbus);Tipo (DNP3);Índice (DNP3);Limite inferior;Limite superior;Valor default;Divisor;Unidade pt;Unidade en;Unidade es;Conversão pt;Conversão en;Conversão es;Opcional;Condicional;Nível de acesso;Descrição pt;Descrição en;Descrição es;Display pt;Display en;Display es;Observações;Funcionalidade pt;Funcionalidade en;Funcionalidade es;Grupo pt;Grupo en;Grupo es;Classificação;Gráfico rápido;Histórico de dados;IEC 61850;Link;CDC
f1cf530c397e4fe3ad11d19636d25852;1;R;FLOAT_ABCD;;Input register;6045;Analog input;423;0;4294967295;0;10;;;;;;;;;Público;Parâmetro de alarme por CO2 / O2 - Muito baixo - Fonte de óleo 1;Parameter of alarm by CO2 / O2 - Very low - Oil source 1;;;;;;Fonte 1;Source 1;;Razões;Ratios;;Parâmetro;;;;;
11f8d1007ed141639b3cabeee39b7b48;1;R;FLOAT_ABCD;;Input register;6047;Analog input;424;0;4294967295;0;10;;;;;;;;;Público;Parâmetro de alarme por O2 / N2 - Muito alto - Fonte de óleo 1;Parameter of alarm by O2 / N2 - Very high - Oil source 1;;;;;;Fonte 1;Source 1;;Razões;Ratios;;Parâmetro;;;;;
54efb6fa442f488790b42cf8d33d83ed;1;R;FLOAT_ABCD;;Input register;6049;Analog input;425;0;4294967295;0;10;;;;;;;;;Público;Parâmetro de alarme por O2 / N2 - Alto - Fonte de óleo 1;Parameter of alarm by O2 / N2 - High - Oil source 1;;;;;;Fonte 1;Source 1;;Razões;Ratios;;Parâmetro;;;;;
7a879441d28e454bbe1c395704af5303;1;R;FLOAT_ABCD;;Input register;6051;Analog input;426;0;4294967295;0;10;;;;;;;;;Público;Parâmetro de alarme por O2 / N2 - Baixo - Fonte de óleo 1;Parameter of alarm by O2 / N2 - Low - Oil source 1;;;;;;Fonte 1;Source 1;;Razões;Ratios;;Parâmetro;;;;;
fcf96125f3cd450e945bc921d8d87807;1;R;FLOAT_ABCD;;Input register;6053;Analog input;427;0;4294967295;0;10;;;;;;;;;Público;Parâmetro de alarme por O2 / N2 - Muito baixo - Fonte de óleo 1;Parameter of alarm by O2 / N2 - Very low - Oil source 1;;;;;;Fonte 1;Source 1;;Razões;Ratios;;Parâmetro;;;;;
3de23505fe6441a18763eb08f0d54c8a;1;R;FLOAT_ABCD;;Input register;6499;Analog input;450;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Muito alto - Canal 1;Parameter of alarm by transOpto temperature - Very high - Chanel 1;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
c1277d9823ab4c08a396e377ee933ffd;1;R;FLOAT_ABCD;;Input register;6501;Analog input;451;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Alto - Canal 1;Parameter of alarm by transOpto temperature - High - Chanel 1;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
3a6607abda27488e85e4286fe279e553;1;R;FLOAT_ABCD;;Input register;6503;Analog input;452;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Muito alto - Canal 2;Parameter of alarm by transOpto temperature - Very high - Chanel 2;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
d4f60eb6e0844fadb6caf85ccc7e97a3;1;R;FLOAT_ABCD;;Input register;6505;Analog input;453;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Alto - Canal 2;Parameter of alarm by transOpto temperature - High - Chanel 2;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
39d1c1558919406eb87b9a9cdd8049b9;1;R;FLOAT_ABCD;;Input register;6507;Analog input;454;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Muito alto - Canal 3;Parameter of alarm by transOpto temperature - Very high - Chanel 3;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
5bafd88658114c2daff6d106335189a5;1;R;FLOAT_ABCD;;Input register;6509;Analog input;455;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Alto - Canal 3;Parameter of alarm by transOpto temperature - High - Chanel 3;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
12980bc3ed57434fabe402d6de615614;1;R;FLOAT_ABCD;;Input register;6511;Analog input;456;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Muito alto - Canal 4;Parameter of alarm by transOpto temperature - Very high - Chanel 4;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
24bcf4254d6245308fc51c40810b6e00;1;R;FLOAT_ABCD;;Input register;6513;Analog input;457;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Alto - Canal 4;Parameter of alarm by transOpto temperature - High - Chanel 4;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
49f8134f39fe428e845aad1e9ebb3bb0;1;R;FLOAT_ABCD;;Input register;6515;Analog input;458;0;4294967295;0;10;°C;°C;;;;;;;Público;Parâmetro de alarme por temperatura do transOpto - Muito alto - Canal 5;Parameter of alarm by transOpto temperature - Very high - Chanel 5;;;;;;;;;TransOpto;TransOpto;;Debug;;;;;
